post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,0,0,,True
3igqrf,1,1,What I'm wondering is how long after my last dose of bupe will it be before it is again effective for a rapid opiates detox?,True
3igsr7,1,1,I've done it once before. I went from daily half teenth IV dope to nothing after a week of using gradually reduced doses of bupe.,True
3nt5ew,1,1,"Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
3nt86s,1,1,"Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
518v54,1,0,My eventual goal is abstinence,True
5bd6hr,0,0,None,False
5euhxf,1,0,"I've scored a half teenth, shot up a couple of times",False
5fs1yf,1,0,"I am constantly addressing the problem, with meetings, applying for rehab again soon, always somehow manage to pull myself out of a relapse",True
5phzns,0,0,,True
5uo9xj,0,0,,True
5yylq2,1,0,"I have a few pills left and no access to more, so any help advice or experience is appreciated.",True
6h9s3x,0,0,,True
6qiqc7,1,0,"I'm hanging on because I'm going to rehab in a few months (or when ever a bed becomes available),",False
7tks4h,0,0,None,False
9k4o50,0,0,,True
ba5tou,1,1,"I have some methadone (about 100ml), some zopilcone and some diazepam (20mg in 2mg tablets.)",True
700v7d,1,0,"I have to start working again, but I'm not sure if I can wait till I'm off Kratom too. A part of me thinks getting on a routine would be good for me even if I have to eventually deal with Kratom W/Ds while working.",True
7063a7,1,0,"I would love to stop it all but I'm living alone and not working, not having a distraction or something to normalize my routine makes withdrawal 10x's worse.",True
70ke56,1,0,"This time I avoided any phone calls that I knew would get to me, but my dad knows something is up and just pray he doesn't drive up (I live an hour away).",True
71trdu,1,0,"I will quit benzos without tapering, but I will use as much Kratom as needed to get through jumping off DHC.",True
728w57,1,0,"Now after 3 weeks I am back in that place I was months ago. Sometimes I think a work routine, being around co-workers, etc will be good to establish before jumping off all the way.",True
3cqp6y,0,0,,True
3cqya9,0,0,,True
3e1b5s,0,0,,True
6zkt8s,0,0,,True
7004qt,0,0,None,False
73ps8l,0,0,,True
4uxokl,0,0,,True
4v188e,0,0,,True
516elz,0,0,,True
51asc3,0,0,,True
534g0g,0,0,None,False
55a8ps,0,0,,True
57jr8x,0,0,None,False
5ri9pf,0,0,,True
68a9dh,0,0,,True
6rltyf,0,0,,True
71cl8c,0,0,,True
71clao,0,0,,True
77f9yb,0,0,None,False
607niv,1,0,"In two days, I will be completely out of meds.",True
61qx2n,0,0,,True
62sbkv,1,0,Hopefully this gives someone hope.,True
63rnxs,0,0,,True
64xkmj,1,0,I am scared bc I know I will want to use.,True
65uequ,0,0,,True
6a5yn8,0,0,None,False
6ebujs,1,0,What about tomorrow tho.,True
6inwke,0,0,,True
9x54pd,0,1,,True
a3ri4d,1,1,I have been taking kratom since Tuesday to help withdrawal.,True
a43ojt,0,0,,True
55ajwt,0,0,,True
57ejx7,0,0,None,False
6icb2z,0,0,None,False
6icc1u,0,0,None,False
6knqqt,0,0,None,False
6xydw9,0,0,,True
725rhw,0,0,None,False
725rta,0,0,None,False
7lu1ed,0,0,None,False
7lu2i9,0,0,,True
5oht74,1,0,It's day 3 off of a 8 day relapse.,True
5ope6e,0,0,,True
5ow3t9,0,0,,True
5p45ip,1,0,I'll be working on a week but I feel like I need to.,True
5paxbr,1,0,Waking up to day 7.,False
5pieag,1,0,I'll take that over just bad.,True
5po74b,1,0,I'll be so stoked as the sleep/malaise start to loosen up.,True
5q2yd7,1,0,Day 11,True
5q5z00,1,0,"I'm still a lot of things that fuckin suck... BUT I'm noticing glimmers. Sometimes they come and go in an instant, sometimes they stick around a few minutes, sometimes I can stretch them for 1-2 hours.",True
5qam5y,1,0,Day 14 will sound much cooler on Sunday morning and I'll probably plan to type up some deeper shit then.,True
5qh7o9,1,0,Lookin forward to 2 weeks tomorrow,True
5qnoyr,1,0,Still dreading the length of days in the morning and how I'm going to keep my self occupied without being able to relax as easy.,True
5qul95,1,0,about to head to the gym in hopes of pumping some natural feel good into my body,True
5r0lya,0,0,,True
5r8afs,1,0,"Hoping the work day passes quickly,",True
5rf4hs,1,0,"it hit me like a fuckin sack of bricks... started pouring sweat, plotting and rationalizing all the ways I could get around this security blanket that I've created,",True
5rmcy7,1,0,I'm waiting for that one night where I just conk out for 8-9 hours so bad.,True
5rtnk6,1,0,Lingering symptoms are still morning GI/Restless when I try to relax/anxiety sweats.,True
5s0p8o,1,0,"Symptoms at 3 weeks out... broken sleep of 4-6 hours, morning shits (a very zen one this morning at least), anhedonia waves, come and go restless limbs.",True
5sdy7b,1,0,Felt like day 4 of withdrawals out of the blue.,True
5ssayz,1,0,"Only things lingering around at 25 days are morning GI, restless sleep, anxiety/anhedonia waves.",True
5szjvv,1,0,This was the day of the month I would get my script refilled and normally start the process of one GREAT week followed by the cycle of withdrawal etc etc.,True
5t6muw,0,0,,True
5tm4rq,0,0,,True
5uej8s,1,0,Almost feels like days 7-11 again.,True
2r79os,1,0,I may have lost the love of my life... this must be the last time.,False
2rb273,1,0,Ill be gone soon anyway with no connects so what can happen??,True
2rfvru,0,0,,True
5sjje4,0,0,None,False
66t8t7,1,0,Day 3.,False
6e1wbk,0,0,,True
6jilbu,0,0,,True
6jkz19,1,0,Coming on three days,True
6jprrk,0,0,,True
6jqqi2,1,0,I was so fucked up on dope and xanax and kpins that i blacked out the entire way.,True
6jtam9,0,0,,True
6k0l82,0,0,None,False
6k5gpv,0,0,,True
6kkxof,0,0,,True
6r2vt5,0,0,,True
6r4qyt,1,0,I keep thinking just one more...,True
7y61tu,0,0,None,False
y55tq,0,0,,True
ygg2m,0,0,,True
zzech,0,0,,True
189jzm,0,0,,True
1dcxyt,1,0,I'm about to enjoy a handful of hydrocodones and a nice line of Opana.,True
1ip2y2,0,0,,True
28ltk2,0,0,,True
2y148m,1,0,I haven't gone through any withdrawals in a very long time,True
379lfx,0,0,,True
3d7135,1,0,"Anytime I keep at least 40 pounds of poppyseeds incase the site I order from gets shut down, or something gets lost in the mail, by doing this, I haven't WD'd in close to 2 years",False
3gezxz,0,0,,True
3glfpd,0,0,,True
3nqeie,1,0,Now I can't wait until this Friday when I get paid. I'm going to get totally straight hamstered!,True
40inra,0,0,,True
49iuq9,1,0,"I've got like 30 minutes before I have to give a lecture about The Gulf of Mexico/pollution for an elementary school, so I thought I'd start up a post... Yet as much as we hate it, it's important to be prepared. withdrawal is a horrible horrible painful thing.",False
49ommq,0,0,,True
84utu0,0,0,None,False
7k1few,1,0,I'm praying that I don't [withdraw] this time around.,False
7tdpm3,0,0,None,False
7xiifr,0,0,None,False
8dfzx9,0,0,None,False
8ektq0,0,0,,True
8o0sp1,0,0,,True
930v7p,1,0,I'm stuck again. I'm humiliated and embarrassed and I just texted my sponsor to ask if she'd hold my script for me.,True
6io4hs,0,0,None,False
77vqr1,0,0,None,False
7dnif5,0,0,None,False
7sy08z,0,0,None,False
8ro6ec,0,0,None,False
3l5nw6,0,0,,True
3m8tmw,0,0,,True
3rva6k,0,0,,True
3rveij,0,0,None,False
422c1l,0,0,None,False
43l956,0,0,None,False
481d1a,0,0,None,False
49vwv2,0,0,None,False
4bquxv,0,0,None,False
7pej2i,1,0,I've been at sober living for 3 weeks still clean and happier than I've ever been.,False
7xpgw5,0,0,None,False
8s2nwu,0,0,None,False
a041t0,0,0,None,False
aahjui,0,0,,True
5vveqc,0,0,None,False
71ng3x,0,0,,True
72vmr4,0,0,,True
73yc0j,0,0,,True
74t8q6,0,0,None,False
7brnf4,0,0,,True
7t9p86,0,0,None,False
7tklhm,0,0,None,False
7uke35,0,0,,True
819ivi,0,0,,True
81qb6u,0,0,,True
851jqd,0,0,,True
88dktr,0,0,,True
8a44dc,0,0,,True
8a8cwd,0,0,,True
8cdcoj,1,0,mainlining a fat shot of heroin at 1:46AM,True
