post_id,predicted_tense,verbatim_example,true_tense
3dy8wl,0,,0
3igqrf,1,I used to subscribe to /r/opiates but recently have been finding the content too provocative while trying to stop.,0
3igsr7,1,I've been messing around with heroin and bupe since about April - my most recent relapse.,0
3nt5ew,0,,0
3nt86s,0,,0
518v54,0,,0
5bd6hr,ERROR,ERROR,0
5euhxf,ERROR,ERROR,0
5fs1yf,0,,0
5phzns,0,,0
5uo9xj,ERROR,ERROR,0
5yylq2,1,"I've been taking 1mg (rarely 2mg) of xanax a day for 3 weeks now, with a few days missed.",0
6h9s3x,ERROR,ERROR,0
6qiqc7,0,,0
7tks4h,ERROR,ERROR,0
9k4o50,1,In less than 3 weeks I'll be a year clean.,1
ba5tou,1,So I’ve just used for 3 weeks (IV) after a good bit of clean time.,0
700v7d,1,I quit everything about a year and a half ago with the help of a detox place.,1
7063a7,1,"I quit opiates/benzos/adderall 12 days ago, ... I cycled through different opiates but was primarily taking 600mg of DHC or codeine for the past 6 months.",0
70ke56,1,I had no idea it would be so intense after 2 weeks.,0
71trdu,1,"The last time I took DHC or Xanax was the Sunday of Labor Day. ... It's been about 48 hours since last Kratom dose, I'm on day 20 I believe from last DHC/Xanax dose.",0
728w57,1,I was on a large benzo/opiate habit and got off both 3 weeks to the day.,0
3cqp6y,0,,0
3cqya9,0,,0
3e1b5s,ERROR,ERROR,0
6zkt8s,0,,0
7004qt,1,I've been 4 months sober.,0
73ps8l,1,I've only got 5 months but I'm telling you. I'm so excited to wake up each day doing something I love. Helping other addicts who are suffering.,0
4uxokl,ERROR,ERROR,0
4v188e,0,,0
516elz,ERROR,ERROR,0
51asc3,ERROR,ERROR,0
534g0g,ERROR,ERROR,0
55a8ps,0,,0
57jr8x,ERROR,ERROR,0
5ri9pf,ERROR,ERROR,0
68a9dh,ERROR,ERROR,0
6rltyf,ERROR,ERROR,0
71cl8c,ERROR,ERROR,0
71clao,ERROR,ERROR,0
77f9yb,ERROR,ERROR,0
607niv,1,I have tried to get into detox. There is a wait list a mile long. I am not going to look for this shit on the street. What can I do to make it thru detox without killing myself (or really wanting to).,0
61qx2n,1,Almost five days clean,0
62sbkv,1,"A week ago, I was terrified to give up the pills.",0
63rnxs,1,"For the past ten yrs, I've still been in pain, but so over medicated that I didn't care.",0
64xkmj,1,I am scared bc I know I will want to use.,0
65uequ,1,"Still having restless legs, but my regular Dr says they're not related, which means that the only withdrawal symptom I had was insomnia,",0
6a5yn8,1,"I am happy to be here, sober . I am starting to really mourn for ten years I lost to oxycontin and Xanax.",0
6ebujs,1,"I've never used a needle. Why? Seriously. I just want a ""normal"" friend.",0
6inwke,1,"By the grace of God, I didn't use.",0
9x54pd,ERROR,ERROR,0
a3ri4d,1,I have been taking kratom since Tuesday to help withdrawal.,0
a43ojt,0,,0
55ajwt,ERROR,ERROR,0
57ejx7,ERROR,ERROR,0
6icb2z,1,Six months ago I couldn't even go 60 minutes without having to use something.,0
6icc1u,1,Six months and some change ago I couldn't even go 60 minutes without having to use something to change the way I feel.,0
6knqqt,0,,0
6xydw9,1,I used to run one in r/opiates,0
725rhw,1,"I was in a hospital bed, could barely walk and breathe, was doing the “undercover ninja” every night to try and get comfortable to sleep, and had no direction or positive things in my life.",0
725rta,0,,0
7lu1ed,1,a year ago I was in a hospital bed with a Staff Infection and Pneumonia; I was making plans to go pick up the second I got out...,0
7lu2i9,1,I’m officially one year clean from opiates.,1
5oht74,1,It's day 3 off of a 8 day relapse.,1
5ope6e,1,"Dropping the Lope to 6mg today, plan on working out after work, dropping the Benzo to .25mg today and .75mg tonight before bed.",0
5ow3t9,1,"finished the day with 6mg lope, .25 kpin and 1 Gabapentin before bed.",0
5p45ip,1,Yesterday had some high points and VERY low points that have continued into this morning.,0
5paxbr,1,Waking up to day 7.,0
5pieag,1,"One week down, working on day 8.",0
5po74b,1,"Eight days down, moving into day 9.",0
5q2yd7,1,10 down. Working on 11.,0
5q5z00,1,I'm wrapping up day 11 in a few hours... I still cry like a baby sometimes but less frequently. I still blow up the bathroom in the morning but it doesn't persist all day.,0
5qam5y,1,"This shit isn't easy... but that shouldn't be the reason you don't stop using. It's not supposed to be easy, you're trying to rescue your hijacked brain and body from something that's held it hostage for however long.",0
5qh7o9,1,Day 13,0
5qnoyr,1,Still can't totally relax without some restless feet. Lingering anhedonia that comes in waves.,0
5qul95,0,,0
5r0lya,1,"This past weekend was better than the last. Got a lot of exercise in, bunch of stuff done around the house, went to an early dinner with my wife, cooked for the week and just hung out with some friends.",0
5r8afs,1,Today I feel... decent? It feels like my body is trying to act normal and my brain is just a few steps behind.,0
5rf4hs,1,"I can say that I have never had a craving in the 17 days up until that point. It hit me like a fuckin sack of bricks... started pouring sweat, plotting and rationalizing all the ways I could get around this security blanket that I've created,",0
5rmcy7,1,Yesterday went pretty well other than a few cases of the clammy sweats.,0
5rtnk6,1,Yesterday was okay minus a crazy afternoon episode of the sweats.,0
5s0p8o,1,"Symptoms at 3 weeks out... broken sleep of 4-6 hours, morning shits (a very zen one this morning at least), anhedonia waves, come and go restless limbs.",0
5sdy7b,1,Felt like day 4 of withdrawals out of the blue.,0
5ssayz,1,"Only things lingering around at 25 days are morning GI, restless sleep, anxiety/anhedonia waves.",0
5szjvv,1,This was the day of the month I would get my script refilled and normally start the process of one GREAT week followed by the cycle of withdrawal etc etc.,0
5t6muw,0,,0
5tm4rq,0,,0
5uej8s,1,"The last 2-3 days have been rough out of the blue. My body/brain are feeling anxious, depressed and just out of sync compared to 27-30. Almost feels like days 7-11 again.",0
2r79os,1,I've gone this long. I feel so much better than I thought I would.,0
2rb273,1,I've now gone five days without,0
2rfvru,0,,0
5sjje4,0,,0
66t8t7,1,Had my ups and downs.,0
6e1wbk,0,,0
6jilbu,1,Day 2. I'm struggling.,0
6jkz19,1,Every. Minute. Every. Hour. Each one is one closer to being better.,0
6jprrk,1,I haven't thought that in s long time even when I made it to three days before.,0
6jqqi2,1,I was so fucked up on dope and xanax and kpins that i blacked out the entire way.,0
6jtam9,0,,0
6k0l82,1,Day 4 in tha books! Can't believe it!,0
6k5gpv,1,This is the longest I've been sober in a year at least.,0
6kkxof,1,I've made it this far.,0
6r2vt5,1,I had a major car accident and relapsed. In back to 3days.,0
6r4qyt,0,,0
7y61tu,1,It's been a month and a half.,0
y55tq,0,,0
ygg2m,ERROR,ERROR,0
zzech,0,,0
189jzm,ERROR,ERROR,0
1dcxyt,0,,0
1ip2y2,ERROR,ERROR,0
28ltk2,0,,0
2y148m,1,I haven't gone through any withdrawals in a very long time (been abusing opiates for about 5 years now),0
379lfx,0,,0
3d7135,1,"Anyways, at anytime I keep at least 40 pounds of poppyseeds incase the site I order from gets shut down, or something gets lost in the male, by doing this, I haven't WD'd in close to 2 years,",0
3gezxz,ERROR,ERROR,0
3glfpd,0,,0
3nqeie,1,I'm going to get totally straight hamstered!,0
40inra,0,,0
49iuq9,1,"I've seen people post their WD kits before. So what's in yours? I'll go first: My WD kit is an old Jurassic Park lunch box... First of all I've got some downers. 6 xanax, 10 k-pins, 2 old ass Valium.",0
49ommq,0,,0
84utu0,ERROR,ERROR,0
7k1few,1,"I've tried to quit 5 times in the last year or so. Start a program, leave the program. Get through detox, feel great and then ""just for the weekend"" myself back into active addiction.",1
7tdpm3,1,42 days. 42 god-blessed days.,0
7xiifr,1,"I'm actually looking forward to it, rather than mocking the whole process.",0
8dfzx9,1,I've got 4 months clean and sober - the idea of being in pain just riles me up.,0
8ektq0,1,"I kicked a 4 year IV meth habit. I went from being a junkie to being a contributing member of society, with a great family and career.",1
8o0sp1,1,"I knew as soon as I took them, the mental obsession would return.",0
930v7p,0,,0
6io4hs,1,"I finally was honest with myself about this fact, and have been trying so, so hard to get a truly good amount of time together. It was not until I was able to put together a year, which turned into a year and a half (where I am currently), and now I am truly beginning to realize that there is a major difference in my thought process overall.",0
77vqr1,1,"I remember when I was using that if I was honest with myself, the answer was always that I wanted to change things and wanted to stop- but the next thought would be that I needed to make a plan first, and certainly couldn’t start right then, because I wanted to do it ‘right’.",0
7dnif5,1,"Myself as well as the large majority of opiate users I have met along my journey through recovery all have almost the same story. Got injured in some way, got prescribed Vicodin, Percocet, Oxys, even fucking Fentanyl in some cases- and then, after unknowingly becoming physically dependent on the medication (which the doctors often failed to warn about), the doc suddenly ends the script.",0
7sy08z,0,,0
8ro6ec,1,"I was in recovery, and actually a year or so into it at that point.",0
3l5nw6,0,,0
3m8tmw,1,Clean for over two years... Why am I still searching this shit.,0
3rva6k,1,"I haven't tried to get any dope, or even any painkillers.",0
3rveij,0,,0
422c1l,1,Been clean two years,0
43l956,1,"I've been clean for two years, but have been jonesin hard lately...",0
481d1a,0,,0
49vwv2,0,,0
4bquxv,0,,0
7pej2i,1,I've been at sober living for 3 weeks still clean and happier than I've ever been.,1
7xpgw5,1,I am about 90-100 days clean. It’s the most clean time I’ve had and I seriously couldn’t be happier.,0
8s2nwu,1,"I woke up this morning with a call from my sponsors girlfriend - he passed away today. Young dude, had so much going for him, 3 years clean and used once and now he’s gone.",0
a041t0,1,I've never felt so low on myself in a long time to the point of where I look in the mirror and I don't like who I see.,0
aahjui,1,I’m over 1 year into sobriety,0
5vveqc,ERROR,ERROR,0
71ng3x,ERROR,ERROR,0
72vmr4,ERROR,ERROR,0
73yc0j,ERROR,ERROR,0
74t8q6,ERROR,ERROR,0
7brnf4,ERROR,ERROR,0
7t9p86,ERROR,ERROR,0
7tklhm,ERROR,ERROR,0
7uke35,ERROR,ERROR,0
819ivi,ERROR,ERROR,0
81qb6u,ERROR,ERROR,0
851jqd,ERROR,ERROR,0
88dktr,0,,0
8a44dc,ERROR,ERROR,0
8a8cwd,0,,0
8cdcoj,ERROR,ERROR,0
8e12qh,ERROR,ERROR,0
8ju7q8,ERROR,ERROR,0
8lkudz,ERROR,ERROR,0
8o62i0,ERROR,ERROR,0
8pfne2,ERROR,ERROR,0
