post_id,predicted_tense,true_tense
3dy8wl,0,1
3igqrf,1,0
3igsr7,1,0
3nt5ew,1,0
3nt86s,1,0
518v54,1,1
5bd6hr,0,1
5euhxf,1,1
5fs1yf,1,1
5phzns,1,1
5uo9xj,1,1
5yylq2,1,1
6h9s3x,0,1
6qiqc7,1,1
7tks4h,0,1
9k4o50,1,0
ba5tou,1,0
700v7d,0,0
7063a7,1,1
70ke56,1,1
71trdu,1,1
728w57,0,1
3cqp6y,0,1
3cqya9,0,1
3e1b5s,1,1
6zkt8s,1,1
7004qt,1,1
73ps8l,1,1
4uxokl,0,1
4v188e,1,1
516elz,0,1
51asc3,1,1
534g0g,0,1
55a8ps,0,1
57jr8x,0,1
5ri9pf,1,1
68a9dh,1,1
6rltyf,1,1
71cl8c,0,1
71clao,0,1
77f9yb,0,1
607niv,1,1
61qx2n,0,1
62sbkv,1,1
63rnxs,0,1
64xkmj,1,1
65uequ,0,1
6a5yn8,1,1
6ebujs,1,1
6inwke,0,1
9x54pd,1,0
a3ri4d,0,0
a43ojt,0,1
55ajwt,1,1
57ejx7,0,1
6icb2z,0,1
6icc1u,0,1
6knqqt,0,1
6xydw9,1,1
725rhw,0,1
725rta,0,1
7lu1ed,0,1
7lu2i9,0,0
5oht74,1,0
5ope6e,1,1
5ow3t9,1,1
5p45ip,0,1
5paxbr,1,1
5pieag,1,1
5po74b,1,1
5q2yd7,1,1
5q5z00,1,1
5qam5y,0,1
5qh7o9,0,1
5qnoyr,1,1
5qul95,0,1
5r0lya,0,1
5r8afs,1,1
5rf4hs,1,1
5rmcy7,1,1
5rtnk6,1,1
5s0p8o,1,1
5sdy7b,1,1
5ssayz,0,1
5szjvv,1,1
5t6muw,0,1
5tm4rq,0,1
5uej8s,1,1
2r79os,0,1
2rb273,1,1
2rfvru,0,1
5sjje4,1,1
66t8t7,0,1
6e1wbk,1,1
6jilbu,1,1
6jkz19,1,1
6jprrk,1,1
6jqqi2,1,1
6jtam9,0,1
6k0l82,0,1
6k5gpv,1,1
6kkxof,0,1
6r2vt5,0,1
6r4qyt,0,1
7y61tu,0,1
y55tq,1,1
ygg2m,0,1
zzech,0,1
189jzm,0,1
1dcxyt,0,1
1ip2y2,0,1
28ltk2,1,1
2y148m,1,1
2y9t1b,0,1
379lfx,0,1
3d7135,1,1
3gezxz,1,1
3glfpd,0,1
3nqeie,1,1
40inra,1,1
49iuq9,1,1
49ommq,1,1
84utu0,0,1
8rjy5y,0,1
7k1few,1,0
7tdpm3,0,1
7xiifr,0,1
8dfzx9,1,1
8ektq0,1,0
8o0sp1,1,1
930v7p,0,1
6io4hs,1,1
77vqr1,1,1
7dnif5,0,1
7sy08z,0,1
8ro6ec,0,1
3l5nw6,0,1
3m8tmw,0,1
3rva6k,0,1
3rveij,0,1
422c1l,0,1
43l956,1,1
44q51x,0,1
481d1a,0,1
49vwv2,1,1
4bquxv,0,1
7pej2i,0,0
7xpgw5,1,1
8s2nwu,1,1
a041t0,1,1
aahjui,0,1
5vveqc,0,1
71ng3x,0,1
72vmr4,0,1
73yc0j,0,1
74t8q6,0,1
7brnf4,0,1
7t9p86,0,1
7tklhm,0,1
7uke35,0,1
819ivi,0,1
81qb6u,0,1
851jqd,1,1
88dktr,1,1
8a44dc,0,1
